base_url,city,citycountry,cloudiness,country,humidity,lat,lng,temp,wind speed
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=boden,se&APPID=658432372d775e19d42e7c70280b22af",boden,bodense,0,se,25,67,22,19.0,5.7
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=namibe,ao&APPID=658432372d775e19d42e7c70280b22af",namibe,namibeao,0,ao,100,-13,7,22.24,4.66
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=vanavara,ru&APPID=658432372d775e19d42e7c70280b22af",vanavara,vanavararu,0,ru,74,63,104,10.49,1.86
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=karratha,au&APPID=658432372d775e19d42e7c70280b22af",karratha,karrathaau,0,au,51,-16,112,15.89,1.31
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=biak,id&APPID=658432372d775e19d42e7c70280b22af",biak,biakid,92,id,100,2,138,23.14,0.76
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=ljungby,se&APPID=658432372d775e19d42e7c70280b22af",ljungby,ljungbyse,0,se,34,57,14,27.0,3.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=aswan,eg&APPID=658432372d775e19d42e7c70280b22af",aswan,aswaneg,0,eg,12,25,34,37.0,5.1
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=nobres,br&APPID=658432372d775e19d42e7c70280b22af",nobres,nobresbr,0,br,55,-15,-56,30.64,4.56
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=castro,cl&APPID=658432372d775e19d42e7c70280b22af",castro,castrocl,0,cl,89,-52,-106,5.99,4.01
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=marquette,us&APPID=658432372d775e19d42e7c70280b22af",marquette,marquetteus,5,us,57,47,-88,26.0,4.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=cape town,za&APPID=658432372d775e19d42e7c70280b22af",cape town,cape townza,40,za,67,-64,-13,16.0,5.1
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=sao felix do xingu,br&APPID=658432372d775e19d42e7c70280b22af",sao felix do xingu,sao felix do xingubr,68,br,48,-6,-54,31.94,2.06
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=baruun-urt,mn&APPID=658432372d775e19d42e7c70280b22af",baruun-urt,baruun-urtmn,0,mn,37,48,114,15.39,4.26
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=coquimbo,cl&APPID=658432372d775e19d42e7c70280b22af",coquimbo,coquimbocl,75,cl,93,-29,-72,14.0,3.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=virginia beach,us&APPID=658432372d775e19d42e7c70280b22af",virginia beach,virginia beachus,75,us,83,35,-72,29.0,4.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=yumen,cn&APPID=658432372d775e19d42e7c70280b22af",yumen,yumencn,48,cn,18,36,93,19.79,4.11
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=anadyr,ru&APPID=658432372d775e19d42e7c70280b22af",anadyr,anadyrru,90,ru,100,64,177,1.0,5.0
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=lompoc,us&APPID=658432372d775e19d42e7c70280b22af",lompoc,lompocus,90,us,93,26,-125,15.0,2.1
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=lorengau,pg&APPID=658432372d775e19d42e7c70280b22af",lorengau,lorengaupg,56,pg,100,1,144,27.74,1.41
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=geraldton,au&APPID=658432372d775e19d42e7c70280b22af",geraldton,geraldtonau,0,au,76,-29,110,13.0,5.7
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=chuguyevka,ru&APPID=658432372d775e19d42e7c70280b22af",chuguyevka,chuguyevkaru,92,ru,97,44,134,11.59,1.01
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=soe,id&APPID=658432372d775e19d42e7c70280b22af",soe,soeid,0,id,91,-10,124,17.54,0.96
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=mbandaka,cd&APPID=658432372d775e19d42e7c70280b22af",mbandaka,mbandakacd,32,cd,61,0,19,30.44,0.96
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=marsaxlokk,mt&APPID=658432372d775e19d42e7c70280b22af",marsaxlokk,marsaxlokkmt,20,mt,69,35,16,25.0,4.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=vrangel,ru&APPID=658432372d775e19d42e7c70280b22af",vrangel,vrangelru,20,ru,97,40,133,9.69,2.86
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=formosa,br&APPID=658432372d775e19d42e7c70280b22af",formosa,formosabr,32,br,68,-15,-47,22.49,4.21
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=pacific grove,us&APPID=658432372d775e19d42e7c70280b22af",pacific grove,pacific groveus,90,us,76,30,-132,14.0,3.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=kamaishi,jp&APPID=658432372d775e19d42e7c70280b22af",kamaishi,kamaishijp,92,jp,85,36,147,15.79,3.31
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=chiusi,it&APPID=658432372d775e19d42e7c70280b22af",chiusi,chiusiit,75,it,60,43,12,25.0,6.7
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=san cristobal,ec&APPID=658432372d775e19d42e7c70280b22af",san cristobal,san cristobalec,24,ec,98,-5,-88,20.04,1.31
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=mount gambier,au&APPID=658432372d775e19d42e7c70280b22af",mount gambier,mount gambierau,12,au,77,-40,137,11.39,2.76
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=hirara,jp&APPID=658432372d775e19d42e7c70280b22af",hirara,hirarajp,32,jp,94,22,128,28.94,3.66
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=kutum,sd&APPID=658432372d775e19d42e7c70280b22af",kutum,kutumsd,76,sd,28,17,25,33.04,1.66
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=itarema,br&APPID=658432372d775e19d42e7c70280b22af",itarema,itaremabr,0,br,68,7,-38,30.74,5.11
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=kavieng,pg&APPID=658432372d775e19d42e7c70280b22af",kavieng,kaviengpg,56,pg,100,8,158,27.99,1.71
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=hobart,au&APPID=658432372d775e19d42e7c70280b22af",hobart,hobartau,40,au,75,-78,145,7.0,3.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=colorado springs,us&APPID=658432372d775e19d42e7c70280b22af",colorado springs,colorado springsus,1,us,49,39,-105,22.0,7.2
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=hermanus,za&APPID=658432372d775e19d42e7c70280b22af",hermanus,hermanusza,56,za,79,-62,2,13.14,3.41
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=barrow,us&APPID=658432372d775e19d42e7c70280b22af",barrow,barrowus,75,us,83,75,-151,28.0,1.66
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=puerto ayora,ec&APPID=658432372d775e19d42e7c70280b22af",puerto ayora,puerto ayoraec,20,ec,65,-1,-106,27.0,6.7
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=fuling,cn&APPID=658432372d775e19d42e7c70280b22af",fuling,fulingcn,92,cn,95,30,107,17.24,1.01
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=papetoai,pf&APPID=658432372d775e19d42e7c70280b22af",papetoai,papetoaipf,40,pf,73,-17,-150,24.0,1.5
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=petropavlovsk-kamchatskiy,ru&APPID=658432372d775e19d42e7c70280b22af",petropavlovsk-kamchatskiy,petropavlovsk-kamchatskiyru,0,ru,81,48,164,6.0,2.0
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=ilulissat,gl&APPID=658432372d775e19d42e7c70280b22af",ilulissat,ilulissatgl,75,gl,60,88,-39,4.0,3.1
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=east london,za&APPID=658432372d775e19d42e7c70280b22af",east london,east londonza,0,za,63,-69,54,17.0,2.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=ancud,cl&APPID=658432372d775e19d42e7c70280b22af",ancud,ancudcl,0,cl,86,-41,-100,6.64,3.31
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=chiang khong,th&APPID=658432372d775e19d42e7c70280b22af",chiang khong,chiang khongth,40,th,100,20,101,25.0,1.16
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=yellowknife,ca&APPID=658432372d775e19d42e7c70280b22af",yellowknife,yellowknifeca,20,ca,48,64,-117,4.0,3.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=sur,om&APPID=658432372d775e19d42e7c70280b22af",sur,surom,0,om,73,21,60,33.14,3.41
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=chibombo,zm&APPID=658432372d775e19d42e7c70280b22af",chibombo,chibombozm,0,zm,30,-15,28,24.74,2.11
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=touros,br&APPID=658432372d775e19d42e7c70280b22af",touros,tourosbr,20,br,64,-5,-35,30.14,8.96
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=tucupita,ve&APPID=658432372d775e19d42e7c70280b22af",tucupita,tucupitave,64,ve,88,9,-61,25.99,2.21
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=semnan,ir&APPID=658432372d775e19d42e7c70280b22af",semnan,semnanir,24,ir,22,35,54,29.29,1.11
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=paamiut,gl&APPID=658432372d775e19d42e7c70280b22af",paamiut,paamiutgl,88,gl,100,61,-52,1.89,9.46
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=katsuura,jp&APPID=658432372d775e19d42e7c70280b22af",katsuura,katsuurajp,75,jp,93,23,151,19.0,1.0
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=tayshet,ru&APPID=658432372d775e19d42e7c70280b22af",tayshet,tayshetru,0,ru,45,56,98,14.79,2.86
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=talnakh,ru&APPID=658432372d775e19d42e7c70280b22af",talnakh,talnakhru,92,ru,98,80,89,0.04,2.41
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=bredasdorp,za&APPID=658432372d775e19d42e7c70280b22af",bredasdorp,bredasdorpza,56,za,67,-67,21,15.0,3.1
